Date,Account Number,Balance Forward,Gas & Water Charges,Gas Charges,Gas Consumption,Stormwater Rate Charges,Total,Water Charges,Water Consumption
2017-09-30,110159085.0,65.58800000000001,62.910000000000004,30.664,31.799999999999997,,134.622,32.246,6.6
2017-10-31,110159085.0,141.4144827586207,91.46689655172413,49.688965517241385,88.93103448275862,14.045862068965517,246.92724137931035,41.777931034482755,8.551724137931034
2017-11-30,110159085.0,98.55,116.78999999999999,77.71000000000001,201.0,12.49,227.82999999999998,39.08,8.0
2017-12-31,110159085.0,0.0,165.19,126.11,374.5,12.49,177.68,39.08,8.0
2018-01-31,110159085.0,0.0,181.63,144.99,444.5,12.49,194.12,36.64,7.5
2018-02-28,110159085.0,0.0,147.02,114.78482758620689,338.17241379310343,12.49,159.51,32.2351724137931,6.517241379310345
2018-03-31,110159085.0,0.0,132.93,97.24,273.0,13.11,146.04000000000002,35.69,7.0
2018-04-30,110159085.0,0.0,125.83866666666667,82.18066666666667,211.39999999999998,13.73,139.56866666666667,43.658,8.466666666666667
2018-05-31,110159085.0,0.0,99.97999999999999,48.415,87.0,13.73,113.71000000000001,51.565,10.0
2018-06-30,110159085.0,0.0,83.36749999999999,31.4803125,28.3125,13.73,97.0975,51.887187499999996,10.0625
2018-07-31,110159085.0,0.0,66.06866666666666,31.689333333333334,21.133333333333333,13.73,79.79866666666666,34.379333333333335,6.666666666666667
2018-08-31,110159085.0,0.0,54.8265625,31.7778125,20.875,13.73,68.5565625,23.04875,4.46875
2018-09-30,110159085.0,0.0,60.376896551724144,32.278275862068966,31.96551724137931,13.73,74.10689655172413,28.09862068965517,5.448275862068965
2018-10-31,110159085.0,0.0,90.16225806451614,54.233548387096775,128.6451612903226,13.73,103.89225806451613,35.928709677419356,6.967741935483871
2018-11-30,110159085.0,0.0,125.77296296296296,84.52296296296296,263.03703703703707,13.73,139.50296296296295,41.25,8.0
2018-12-31,110159085.0,0.0,127.27058823529411,88.75235294117648,287.11764705882354,13.73,141.00058823529412,38.51823529411765,7.470588235294118
2019-01-31,110159085.0,0.0,155.05517241379312,113.62724137931035,386.2758620689655,13.73,168.7851724137931,41.42793103448276,8.03448275862069
2019-02-28,110159085.0,0.0,157.0751515151515,116.80818181818182,399.0909090909091,13.73,170.80515151515152,40.266969696969696,7.7272727272727275
2019-03-31,110159085.0,0.0,129.98222222222222,87.85222222222222,274.77777777777777,14.17,144.1522222222222,42.13,7.777777777777778
2019-04-30,110159085.0,0.0,124.275,77.625,211.0,14.72,138.995,46.650000000000006,8.5
2019-05-31,110159085.0,0.0,92.53848484848486,54.11848484848485,100.39393939393939,14.72,107.25848484848485,38.42,7.0
2019-06-30,110159085.0,0.0,71.20724137931035,37.709310344827585,40.89655172413793,14.72,85.92724137931035,33.49793103448276,6.103448275862069
2019-07-31,110159085.0,0.0,54.90935483870968,30.120967741935484,22.612903225806452,14.72,69.62935483870967,24.788387096774194,4.516129032258064
2019-08-31,110159085.0,0.0,56.236875000000005,31.708125000000003,23.21875,14.72,70.956875,24.528750000000002,4.46875
2019-09-30,110159085.0,0.0,65.7548275862069,35.858275862068965,36.51724137931035,14.72,80.4748275862069,29.896551724137932,5.448275862068965
2019-10-31,110159085.0,0.0,88.09,55.17,112.45454545454545,14.72,102.81,32.92,6.0
2019-11-30,110159085.0,0.0,117.99142857142857,85.07142857142857,224.85714285714286,14.72,132.71142857142857,32.92,6.0
2019-12-31,110159085.0,0.0,150.1816129032258,106.22451612903225,298.5483870967742,14.72,164.9016129032258,43.957096774193545,7.935483870967742
2020-01-31,110159085.0,0.0,157.18379310344827,115.64689655172414,330.0344827586207,15.102758620689656,172.28655172413792,41.53689655172413,7.413793103448276
2020-02-29,110159085.0,0.0,142.99548387096775,109.22806451612904,309.2258064516129,15.46,158.45548387096775,33.76741935483871,5.967741935483871
2020-03-31,110159085.0,0.0,144.6058064516129,85.82967741935484,229.38709677419354,15.46,160.0658064516129,58.77612903225807,10.387096774193548
2020-04-30,110159085.0,0.0,185.64499999999998,80.95500000000001,199.5,15.46,201.10500000000002,104.69,18.5
2020-05-31,110159085.0,0.0,186.16939393939393,73.49878787878788,156.33333333333334,15.46,201.62939393939394,112.67060606060606,19.90909090909091
2020-06-30,110159085.0,0.0,120.33533333333332,42.61,56.199999999999996,15.46,135.79533333333333,77.72533333333334,13.733333333333334
2020-07-31,110159085.0,0.0,99.0725,31.869375,20.0625,15.46,114.5325,67.203125,11.875
2020-08-31,110159085.0,0.0,101.21903225806452,32.21451612903226,17.64516129032258,15.46,116.67903225806452,69.00451612903225,12.193548387096774
2020-09-30,110159085.0,0.0,79.9748275862069,30.99103448275862,22.275862068965516,15.46,95.4348275862069,48.98379310344828,8.655172413793103
2020-10-31,110159085.0,0.0,85.67281249999999,43.405,63.75,15.46,101.1328125,42.2678125,7.46875
2020-11-30,110159085.0,0.0,107.43074074074075,67.60111111111111,143.4074074074074,15.46,122.89074074074072,39.82962962962963,7.037037037037037
2020-12-31,110159085.0,0.0,133.524,99.564,250.17142857142858,15.46,148.98399999999998,33.96,6.0
2021-01-31,110159085.0,0.0,154.748,117.85000000000001,311.84,15.9436,170.6916,36.898,6.52
